X,Y,Z,Type
755309.8259,2305979.259,1073.7,Divide
754996.5039,2306165.937,1183.7,Divide
754818.5679,2306468.351,1200.3,Divide
754749.7918,2306860.274,1273,Divide
748186.5849,2319144.973,713.46,Divide
748332.8791,2318810.918,691.18,Divide
748500.99,2318479.029,741.54,Divide
748746.619,2318224.658,790.84,Divide
749031.5487,2318009.587,844.04,Divide
749114.5593,2317612.248,897.96,Divide
749300.1542,2317297.843,928.07,Divide
749345.9538,2316981.195,949.89,Divide
747282.6702,2318889.519,610.53,Divide
747371.0966,2318556.547,630.74,Divide
747626.5508,2318312.001,675.7,Divide
747862.3546,2318047.805,702.22,Divide
748064.3503,2317749.801,758.43,Divide
748324.1371,2317509.587,796.57,Divide
748582.9175,2317268.368,845.9,Divide
748768.5124,2316953.963,854.82,Divide
749149.4506,2316874.202,961.69,Divide
751419.0625,2320009.587,677.68,Divide
751469.2715,2319616.581,671.36,Divide
751446.3717,2319253.05,721.03,Divide
751543.5401,2318869.869,732.88,Divide
751605.7406,2318549.971,754.55,Divide
751629.8003,2318211.583,753.74,Divide
751815.3951,2317916.828,837.31,Divide
750947.4549,2305586.253,936.04,Divide
751064.2736,2305969.434,927.77,Divide
751232.3845,2306301.323,1025.2,Divide
751563.1905,2306391.916,1110.8,Divide
749061.0241,2319479.029,794.21,Divide
749129.8003,2319087.106,806.2,Divide
749257.5273,2318754.133,782.98,Divide
749529.3823,2318545.639,780.99,Divide
749680.0092,2318196.266,855.66,Divide
749778.2608,2317853.468,894.56,Divide
749797.9111,2317471.37,944.76,Divide
755457.2033,2303876.675,787.31,Divide
755251.9581,2304171.43,844.82,Divide
756852.376,2312090.509,683.91,Divide
756430.9773,2312070.858,779.75,Divide
756036.8877,2312122.15,909.89,Divide
755666.7811,2312208.41,1039.3,Divide
755363.2843,2312365.613,1106.9,Divide
754991.0114,2312434.389,1050.1,Divide
